country,prefix
Belgium,320
Belgium,3217
Belgium,3218
Belgium,3220
Belgium,3221
Belgium,3229
Belgium,3230
Belgium,3231
Belgium,3239
Belgium,3240
Belgium,3241
Belgium,3244
Belgium,3262
Belgium,3266
Belgium,3270
Belgium,3272
Belgium,3273
Belgium,3274
Belgium,3275
Belgium,3276
Belgium,3277
Belgium,3279
Belgium,3288
Belgium,3290
Belgium,3291
Belgium,3295
Belgium,3296
Belgium,3297
Belgium,3298
Belgium,3299
France,330
France,33100
France,33101
France,33102
France,33103
France,33104
France,33106
France,33107
France,33108
France,33109
France,33110
France,33111
France,33112
France,33113
France,33114
France,33115
France,33116
France,33118
France,33119
France,33120
France,33121
France,33122
France,33123
France,331240
France,331243
France,331244
France,331245
France,331246
France,331247
France,331248
France,331249
France,33125
France,33126
France,33127
France,33128
France,33129
France,33131
France,33132
France,33133
France,33135
France,33136
France,33137
France,33138
France,33151
France,33152
France,33154
France,33163
France,33165
France,33166
France,33167
France,33168
France,33192
France,33193
France,33194
France,33195
France,33196
France,33197
France,33198
France,33199
France,3320
France,33211
France,33212
France,33213
France,33215
France,33216
France,33217
France,3321942
France,3321943
France,3321944
France,3321945
France,3321946
France,3321947
France,3321948
France,3321949
France,332195
France,332196
France,332197
France,332198
France,332199
France,3322007
France,3322009
France,33260
France,33264
France,33265
France,33266
France,33267
France,33268
France,33271
France,33280
France,33281
France,33282
France,33283
France,33284
France,33286
France,33287
France,33288
France,33289
France,3330
France,33311
France,33312
France,33313
France,33314
France,33315
France,33316
France,33317
France,33318
France,33319
France,33330
France,33331
France,33332
France,33333
France,33334
France,33335
France,33336
France,33337
France,33338
France,33340
France,33341
France,33342
France,33343
France,33346
France,33347
France,33348
France,33349
France,33350
France,3337967
France,3337968
France,3337969
France,333797
France,333798
France,333799
France,3339225
France,3339226
France,3339227
France,3339228
France,3339229
France,333923
France,333924
France,333925
France,333926
France,333927
France,333928
France,333929
France,33393
France,33394
France,33395
France,33396
France,33397
France,33398
France,33399
France,3340
France,33416
France,33417
France,33418
France,33419
France,33429
France,33439
France,33440
France,33441
France,334449
France,33445
France,33446
France,33447
France,3344945
France,3344946
France,3344947
France,3344948
France,3344949
France,334495
France,334496
France,334497
France,334498
France,334499
France,3345159
France,334516
France,334517
France,334518
France,334519
France,33452
France,33453
France,33454
France,33455
France,33459
France,33460
France,33461
France,33462
France,33464
France,3346571
France,33501
France,33502
France,33503
France,33504
France,33505
France,33506
France,33507
France,33508
France,33510
France,33511
France,33512
France,33513
France,33514
France,33515
France,3351828
France,3351829
France,335183
France,335184
France,335185
France,335186
France,335187
France,335188
France,335189
France,33520
France,33521
France,33522
France,33523
France,335256
France,335257
France,335258
France,335259
France,33526
France,33527
France,33528
France,33529
France,33530
France,3353714
France,3353715
France,3353716
France,3353717
France,3353718
France,3353719
France,335372
France,335373
France,335374
France,335375
France,335376
France,335377
France,335378
France,335379
France,33538
France,33539
France,33550
France,33551
France,33552
France,33560
France,33566
France,33570
France,33571
France,33572
France,33573
France,33574
France,33575
France,33576
France,33577
France,33578
France,33580
France,33583
France,33584
France,33585
France,33588
France,33589
France,33591
France,33592
France,33593
France,33595
France,33596
France,33597
France,33598
France,33599
France,33600
France,337000
France,337001
France,337002
France,337003
France,337004
France,337005
France,337006
France,337007
France,337008
France,337009
France,33701
France,33702
France,33703
France,33704
France,33705
France,33706
France,33707
France,33708
France,33709
France,3371
France,3372
France,3379
France,33806
France,33807
France,33808
France,33809
France,3381
France,3382
France,3383
France,33840
France,33841
France,33842
France,33843
France,33844
France,33845
France,33846
France,33847
France,33848
France,33849
France,3385
France,3386
France,3387
France,3388
France,3389
France,3390
France,3391
France,3392
France,3393
France,3394
France,3397398
France,3397399
Spain,340
Spain,34101
Spain,34102
Spain,34103
Spain,34104
Spain,34105
Spain,34107
Spain,34108
Spain,34109
Spain,34110
Spain,34111
Spain,34112
Spain,34113
Spain,34114
Spain,34115
Spain,34116
Spain,34118
Spain,34119
Spain,3412
Spain,3413
Spain,3414
Spain,3415
Spain,3416
Spain,3417
Spain,3418
Spain,3419
Spain,3420
Spain,3421
Spain,3422
Spain,3423
Spain,3424
Spain,3425
Spain,3426
Spain,3427
Spain,3428
Spain,3429
Spain,343
Spain,344
Spain,3450
Spain,3452
Spain,3453
Spain,3454
Spain,3455
Spain,3456
Spain,3457
Spain,3458
Spain,34590
Spain,34591
Spain,34592
Spain,34593
Spain,34594
Spain,34595
Spain,34596
Spain,34597
Spain,34598
Spain,34599
Spain,3470
Spain,3475
Spain,3476
Spain,3477
Spain,3478
Spain,3479
Spain,34801
Spain,34802
Spain,34803
Spain,34804
Spain,34805
Spain,34806
Spain,34807
Spain,34808
Spain,34809
Spain,34811
Spain,34812
Spain,34813
Spain,34814
Spain,34816
Spain,34817
Spain,34818
Spain,34819
Spain,34829
Spain,34831
Spain,34832
Spain,34833
Spain,34834
Spain,34835
Spain,34836
Spain,34837
Spain,34838
Spain,34839
Spain,34840
Spain,34844
Spain,34852
Spain,34855
Spain,34861
Spain,34862
Spain,34863
Spain,34866
Spain,34870
Spain,34885
Spain,34889
Spain,3489
Spain,34901
Spain,34902
Spain,34903
Spain,34904
Spain,34905
Spain,34906
Spain,34907
Spain,34908
Spain,34909
Spain,34929
Spain,34939
Spain,34940
Spain,34970
Spain,34989
Spain,3499
Portugal,3510
Portugal,3511
Portugal,35120
Portugal,351230
Portugal,351237
Portugal,351240
Portugal,351246
Portugal,351247
Portugal,351248
Portugal,351250
Portugal,351260
Portugal,351264
Portugal,351267
Portugal,351270
Portugal,351280
Portugal,351287
Portugal,351288
Portugal,351290
Portugal,351293
Portugal,351294
Portugal,351297
Portugal,351298
Portugal,351299
Portugal,3514
Portugal,3515
Portugal,3516
Portugal,351700
Portugal,351701
Portugal,351702
Portugal,351703
Portugal,351704
Portugal,351705
Portugal,351706
Portugal,351708
Portugal,351709
Portugal,35171
Portugal,35172
Portugal,35173
Portugal,35174
Portugal,35175
Portugal,35176
Portugal,35177
Portugal,35178
Portugal,35179
Portugal,35180080
Portugal,35180087
